id,strongs_number,language,original_word,transliteration,pronunciation,definition,kjv_usage,outline
14292,H95,hebrew,אֲגוֹרָה,ʼăgôwrâh,ag-o-raw',"properly, something gathered, i.e. perhaps a grain or berry; used only of a small (silver) coin",piece (of) silver.,from the same as H94 (אָגוּר);
14293,H96,hebrew,אֶגֶל,ʼegel,eh'-ghel,a reservoir,drop.,from an unused root (meaning to flow down or together as drops);
14294,H97,hebrew,אֶגְלַיִם,ʼEglayim,eg-lah'-yim,"Eglajim, a place in Moab",Eglaim.,dual of H96 (אֶגֶל).; a double pond;
14295,H98,hebrew,אֲגַם,ʼăgam,ag-am',a marsh; hence a rush (as growing in swamps); hence a stockade of reeds,"pond, pool, standing (water).",from an unused root (meaning to collect as water);
14296,H99,hebrew,אָגֵם,ʼâgêm,aw-game',"figuratively, sad",pond.,probably from the same as H98 (אֲגַם) (in the sense of stagnant water);
14297,H100,hebrew,אַגְמוֹן,ʼagmôwn,ag-mone',a bulrush (as growing there); collectively a rope of bulrushes,"bulrush, caldron, hook, rush.","from the same as H98 (אֲגַם); a marshy pool (others from a different root, a kettle); by implication"
14298,H101,hebrew,אַגָּן,ʼaggân,ag-gawn',a bowl (as pounded out hollow),"basin, cup, goblet.",probably from H5059 (נָגַן);
14299,H102,hebrew,אַגָּף,ʼaggâph,ag-gawf',"(only plural) wings of an army, or crowds of troops",bands.,probably from H5062 (נָגַף) (through the idea of impending); a cover or heap; i.e.
14300,H103,hebrew,אָגַר,ʼâgar,aw-gar',to harvest,gather.,a primitive root;
14301,H104,hebrew,אִגְּרָא,ʼiggᵉrâʼ,ig-er-aw',an epistle (as carried by a state courier or postman),letter.,(Aramaic) of Persian origin;
14302,H105,hebrew,אֲגַרְטָל,ʼăgarṭâl,ag-ar-tawl',a basin,charger.,of uncertain derivation;
14303,H106,hebrew,אֶגְרֹף,ʼegrôph,eg-rofe',the clenched hand,fist.,from H1640 (גָּרַף) (in the sense of grasping);
14304,H107,hebrew,אִגֶּרֶת,ʼiggereth,ig-eh'-reth,an epistle,letter.,feminine of H104 (אִגְּרָא);
14305,H108,hebrew,אֵד,ʼêd,ade,a fog,"mist, vapor.",from the same as H181 (אוּד) (in the sense of enveloping);
14306,H109,hebrew,אָדַב,ʼâdab,aw-dab',to languish,grieve.,a primitive root;
14307,H110,hebrew,אַדְבְּאֵל,ʼAdbᵉʼêl,ad-beh-ale',"Adbeel, a son of Ishmael",Adbeel.,probably from H109 (אָדַב) (in the sense of chastisement) and H410 (אֵל); disciplined of God;
14308,H111,hebrew,אֲדַד,ʼĂdad,ad-ad',"Adad (or Hadad), an Edomite",Hadad.,probably an orthographical variation for H2301 (חֲדַד);
14309,H112,hebrew,אִדּוֹ,ʼIddôw,id-do,"Iddo, an Israelite",Iddo.,of uncertain derivation;
14310,H113,hebrew,אָדוֹן,ʼâdôwn,aw-done',"sovereign, i.e. controller (human or divine)","lord, master, owner. Compare also names beginning with 'Adoni-'.",or (shortened) אָדֹן; from an unused root (meaning to rule);
14311,H114,hebrew,אַדּוֹן,ʼAddôwn,ad-done',"Addon, apparently an Israelite",Addon.,probably intensive for H113 (אָדוֹן); powerful;
14312,H115,hebrew,אֲדוֹרַיִם,ʼĂdôwrayim,ad-o-rah'-yim,"Adorajim, a place in Palestine",Adoraim.,dual from H142 (אָדַר) (in the sense of eminence); double mound;
14313,H116,hebrew,אֱדַיִן,ʼĕdayin,ed-ah'-yin,then (of time),"now, that time, then.",(Aramaic) of uncertain derivation;
14314,H117,hebrew,אַדִּיר,ʼaddîyr,ad-deer',"wide or (generally) large; figuratively, powerful","excellent, famous, gallant, glorious, goodly, lordly, mighty(-ier one), noble, principal, worthy.",from H142 (אָדַר);
14315,H118,hebrew,אֲדַלְיָא,ʼĂdalyâʼ,ad-al-yaw',"Adalja, a son of Haman",Adalia.,of Persian derivation;
14316,H119,hebrew,אָדַם,ʼâdam,aw-dam',flush or turn rosy,"be (dyed, made) red (ruddy).","to show blood (in the face), i.e."
14317,H120,hebrew,אָדָם,ʼâdâm,aw-dawm',"ruddy i.e. a human being (an individual or the species, mankind, etc.)","[idiom] another, [phrase] hypocrite, [phrase] common sort, [idiom] low, man (mean, of low degree), person.",from H119 (אָדַם);
14318,H121,hebrew,אָדָם,ʼÂdâm,aw-dawm',"Adam the name of the first man, also of a place in Palestine",Adam.,the same as H120 (אָדָם);
14319,H122,hebrew,אָדֹם,ʼâdôm,aw-dome',rosy,"red, ruddy.",from H119 (אָדַם);
14320,H123,hebrew,אֱדֹם,ʼĔdôm,ed-ome',"Edom, the elder twin-brother of Jacob; hence the region (Idumaea) occupied by him","Edom, Edomites, Idumea.",or (fully) אֱדוֹם ; from H122 (אָדֹם); red (see Genesis 25:25);
14321,H124,hebrew,אֹדֶם,ʼôdem,o'-dem,"redness, i.e. the ruby, garnet, or some other red gem",sardius.,from H119 (אָדַם);
14322,H125,hebrew,אֲדַמְדָּם,ʼădamdâm,ad-am-dawm',reddish,(somewhat) reddish.,reduplicated from H119 (אָדַם);
14323,H126,hebrew,אַדְמָה,ʼAdmâh,ad-maw',"Admah, a place near the Dead Sea",Admah.,contracted for H127 (אֲדָמָה); earthy;
14324,H127,hebrew,אֲדָמָה,ʼădâmâh,ad-aw-maw',soil (from its general redness),"country, earth, ground, husband(-man) (-ry), land.",from H119 (אָדַם);
14325,H128,hebrew,אֲדָמָה,ʼĂdâmâh,ad-aw-maw',"Adamah, a place in Palestine",Adamah.,the same as H127 (אֲדָמָה);
14326,H129,hebrew,אֲדָמִי,ʼĂdâmîy,ad-aw-mee',"Adami, a place in Palestine",Adami.,from H127 (אֲדָמָה); earthy;
14327,H130,hebrew,אֱדֹמִי,ʼĔdômîy,ed-o-mee',"an Edomite, or descendants from (or inhabitants of) Edom",Edomite.,or (fully) אֱדוֹמִי ; patronymic from H123 (אֱדֹם); See H726 (אֲרוֹמִי).
14328,H131,hebrew,אֲדֻמִּים,ʼĂdummîym,ad-oom-meem',"Adummim, a pass in Palestine",Adummim.,plural of H121 (אָדָם); red spots;
14329,H132,hebrew,אַדְמֹנִי,ʼadmônîy,ad-mo-nee',reddish (of the hair or the complexion),"red, ruddy.",or (fully) אַדְמוֹנִי ; from H119 (אָדַם);
14330,H133,hebrew,אַדְמָתָא,ʼAdmâthâʼ,ad-maw-thaw',"Admatha, a Persian nobleman",Admatha.,probably of Persian derivation;
14331,H134,hebrew,אֶדֶן,ʼeden,eh'-den,"a basis (of a building, a column, etc.)","foundation, socket.",from the same as H113 (אָדוֹן) (in the sense of strength);
14332,H135,hebrew,אַדָּן,ʼAddân,ad-dawn',"Addan, an Israelite",Addan.,intensive from the same as H134 (אֶדֶן); firm;
14333,H136,hebrew,אֲדֹנָי,ʼĂdônây,ad-o-noy',the Lord (used as a proper name of God only),(my) Lord.,an emphatic form of H113 (אָדוֹן);
14334,H137,hebrew,אֲדֹנִי־בֶזֶק,ʼĂdônîy-Bezeq,ad-o''-nee-beh'-zek,Adoni-Bezek; a Canaanitish king,Adonibezek.,from H113 (אָדוֹן) and H966 (בֶּזֶק); lord of Bezek;
