id,strongs_number,language,original_word,transliteration,pronunciation,definition,kjv_usage,outline
16577,H2380,hebrew,חָזוּת,châzûwth,khaw-zooth',"a look; hence (figuratively) striking appearance, revelation, or (by implication) compact","agreement, notable (one), vision.",from H2372 (חָזָה);
16578,H2381,hebrew,חֲזִיאֵל,Chăzîyʼêl,khaz-ee-ale',"Chaziel, a Levite",Haziel.,from H2372 (חָזָה) and H410 (אֵל); seen of God;
16579,H2382,hebrew,חֲזָיָה,Chăzâyâh,khaz-aw-yaw',"Chazajah, an Israelite",Hazaiah.,from H2372 (חָזָה) and H3050 (יָהּ); Jah has seen;
16580,H2383,hebrew,חֶזְיוֹן,Chezyôwn,khez-yone',"Chezjon, a Syrian",Hezion.,from H2372 (חָזָה); vision;
16581,H2384,hebrew,חִזָּיוֹן,chizzâyôwn,khiz-zaw-yone',"a revelation, expectation by dream",vision.,from H2372 (חָזָה);
16582,H2385,hebrew,חֲזִיז,chăzîyz,khaw-zeez',a flash of lightning,"bright cloud, lightning.",from an unused root meaning to glare;
16583,H2386,hebrew,חֲזִיר,chăzîyr,khaz-eer',a hog (perhaps as penned),"boar, swine.",from an unused root probably meaning to enclose;
16584,H2387,hebrew,חֵזִיר,Chêzîyr,khay-zeer',"Chezir, the name of two Israelites",Hezir.,from the same as H2386 (חֲזִיר); perhaps protected;
16585,H2388,hebrew,חָזַק,châzaq,khaw-zak',"to fasten upon; hence, to seize, be strong (figuratively, courageous, causatively strengthen, cure, help, repair, fortify), obstinate; to bind, restrain, conquer","aid, amend, [idiom] calker, catch, cleave, confirm, be constant, constrain, continue, be of good (take) courage(-ous, -ly), encourage (self), be established, fasten, force, fortify, make hard, harden, help, (lay) hold (fast), lean, maintain, play the man, mend, become (wax) mighty, prevail, be recovered, repair, retain, seize, be (wax) sore, strengthen (self), be stout, be (make, shew, wax) strong(-er), be sure, take (hold), be urgent, behave self valiantly, withstand.",a primitive root;
16586,H2389,hebrew,חָזָק,châzâq,khaw-zawk',"strong (usu. in a bad sense, hard, bold, violent)","harder, hottest, [phrase] impudent, loud, mighty, sore, stiff(-hearted), strong(-er).",from H2388 (חָזַק);
16587,H2390,hebrew,חָזֵק,châzêq,khaw-zake',powerful,"[idiom] wax louder, stronger.",from H2388 (חָזַק);
16588,H2391,hebrew,חֵזֶק,chêzeq,khay'-zek,help,strength.,from H2388 (חָזַק);
16589,H2392,hebrew,חֹזֶק,chôzeq,kho'-zek,power,strength.,from H2388 (חָזַק);
16590,H2393,hebrew,חֶזְקָה,chezqâh,khez-kaw',prevailing power,"strength(-en self), (was) strong.",feminine of H2391 (חֵזֶק);
16591,H2394,hebrew,חׇזְקָה,chozqâh,khoz-kaw',vehemence (usually in a bad sense),"force, mightily, repair, sharply.",feminine of H2392 (חֹזֶק);
16592,H2395,hebrew,חִזְקִי,Chizqîy,khiz-kee',"Chizki, an Israelite",Hezeki.,from H2388 (חָזַק); strong;
16593,H2396,hebrew,חִזְקִיָּה,Chizqîyâh,khiz-kee-yaw',"Chizkijah, a king of Judah, also the name of two other Israelites","Hezekiah, Hizkiah, Hizkijah. Compare H3169 (יְחִזְקִיָּה).",or חִזְקִיָּהוּ; also יְחִזְקִיָּה; or יְחִזְקִיָּהוּ; from H2388 (חָזַק) and H3050 (יָהּ); strengthened of Jah;
16594,H2397,hebrew,חָח,châch,khawkh,a ring for the nose (or lips),"bracelet, chain, hook.",once (Ezekiel 29:4) חָחִי; from the same as H2336 (חוֹחַ);
16595,H2398,hebrew,חָטָא,châṭâʼ,khaw-taw',"properly, to miss; hence (figuratively and generally) to sin; by inference, to forfeit, lack, expiate, repent, (causatively) lead astray, condemn","bear the blame, cleanse, commit (sin), by fault, harm he hath done, loss, miss, (make) offend(-er), offer for sin, purge, purify (self), make reconciliation, (cause, make) sin(-ful, -ness), trespass.",a primitive root;
16596,H2399,hebrew,חֵטְא,chêṭᵉʼ,khate,a crime or its penalty,"fault, [idiom] grievously, offence, (punishment of) sin.",from H2398 (חָטָא);
16597,H2400,hebrew,חַטָּא,chaṭṭâʼ,khat-taw',"a criminal, or one accounted guilty","offender, sinful, sinner.",intensively from H2398 (חָטָא);
16598,H2401,hebrew,חֲטָאָה,chăṭâʼâh,khat-aw-aw',"an offence, or a sacrifice forit",sin (offering).,feminine of H2399 (חֵטְא);
16599,H2402,hebrew,חַטָּאָה,chaṭṭâʼâh,khat-taw-aw',"an offence, and the penalty or sacrifice forit",sin (offering).,(Aramaic) corresponding to H2401 (חֲטָאָה);
16600,H2403,hebrew,חַטָּאָה,chaṭṭâʼâh,khat-taw-aw',"an offence (sometimes habitual sinfulness), and its penalty, occasion, sacrifice, or expiation; also (concretely) an offender","punishment (of sin), purifying(-fication for sin), sin(-ner, offering).",or חַטָּאת; from H2398 (חָטָא);
16601,H2404,hebrew,חָטַב,châṭab,khaw-tab',to chop or carve wood,"cut down, hew(-er), polish.",a primitive root;
16602,H2405,hebrew,חֲטֻבָה,chăṭubâh,khat-oo-baw',"properly, a carving; hence, a tapestry (as figured)",carved.,feminine passive participle of H2404 (חָטַב);
16603,H2406,hebrew,חִטָּה,chiṭṭâh,khit-taw',"wheat, whether the grain or the plant",wheat(-en).,of uncertain derivation;
16604,H2407,hebrew,חַטּוּשׁ,Chaṭṭûwsh,khat-toosh',"Chattush, the name of four or five Israelites",Hattush.,from an unused root of uncertain signification;
16605,H2408,hebrew,חֲטִי,chăṭîy,khat-ee',an offence,sin.,(Aramaic) from a root corresponding to H2398 (חָטָא);
16606,H2409,hebrew,חֲטָּיָא,chăṭṭâyâʼ,khat-taw-yaw',an expiation,sin offering.,(Aramaic) from the same as H2408 (חֲטִי);
16607,H2410,hebrew,חֲטִיטָא,Chăṭîyṭâʼ,khat-ee-taw',"Chatita, a temple porter",Hatita.,from an unused root apparently meaning to dig out; explorer;
16608,H2411,hebrew,חַטִּיל,Chaṭṭîyl,khat-teel',"Chattil, one of 'Solomon's servants'",Hattil.,from an unused root apparently meaning to wave; fluctuating;
16609,H2412,hebrew,חֲטִיפָא,Chăṭîyphâʼ,khat-ee-faw',"Chatipha, one of the Nethinim",Hatipha.,from H2414 (חָטַף); robber;
16610,H2413,hebrew,חָטַם,châṭam,khaw-tam',to stop,refrain.,a primitive root;
16611,H2414,hebrew,חָטַף,châṭaph,khaw-taf',"to clutch; hence, to seize as aprisoner",catch.,a primitive root;
16612,H2415,hebrew,חֹטֵר,chôṭêr,kho'-ter,a twig,rod.,from an unused root of uncertain signification;
16613,H2416,hebrew,חַי,chay,khah'-ee,"alive; hence, raw (flesh); fresh (plant, water, year), strong; also (as noun, especially in the feminine singular and masculine plural) life (or living thing), whether literally or figuratively","[phrase] age, alive, appetite, (wild) beast, company, congregation, life(-time), live(-ly), living (creature, thing), maintenance, [phrase] merry, multitude, [phrase] (be) old, quick, raw, running, springing, troop.",from H2421 (חָיָה);
16614,H2417,hebrew,חַי,chay,khah'-ee,alive; also (as noun in plural) life,"life, that liveth, living.",(Aramaic) from H2418 (חֲיָא);
16615,H2418,hebrew,חֲיָא,chăyâʼ,khah-yaw',to live,"live, keep alive.","(Aramaic) or חֲיָה; (Aramaic), corresponding to H2421 (חָיָה);"
16616,H2419,hebrew,חִיאֵל,Chîyʼêl,khee-ale',"Chiel, an Israelite",Hiel.,from H2416 (חַי) and H410 (אֵל); living of God;
16617,H2420,hebrew,חִידָה,chîydâh,khee-daw',"a puzzle, hence, a trick, conundrum, sententious maxim","dark saying (sentence, speech), hard question, proverb, riddle.",from H2330 (חוּד);
16618,H2421,hebrew,חָיָה,châyâh,khaw-yaw',"to live, whether literally or figuratively; causatively, to revive","keep (leave, make) alive, [idiom] certainly, give (promise) life, (let, suffer to) live, nourish up, preserve (alive), quicken, recover, repair, restore (to life), revive, ([idiom] God) save (alive, life, lives), [idiom] surely, be whole.","a primitive root (compare H2331 (חָוָה), H2421 (חָיָה));"
16619,H2422,hebrew,חָיֶה,châyeh,khaw-yeh',vigorous,lively.,from H2421 (חָיָה);
16620,H2423,hebrew,חֵיוָא,chêyvâʼ,khay-vaw',an animal,beast.,(Aramaic) from H2418 (חֲיָא);
16621,H2424,hebrew,חַיּוּת,chayûwth,khah-yooth',life,[idiom] living.,from H2421 (חָיָה);
16622,H2425,hebrew,חָיַי,châyay,khaw-yah'-ee,to live; causatively to revive,"live, save life.",a primitive root (compare H2421 (חָיָה));
16623,H2426,hebrew,חֵיל,chêyl,khale,"an army; also (by analogy,) an intrenchment","army, bulwark, host, [phrase] poor, rampart, trench, wall.",or (shortened) חֵל; a collateral form of H2428 (חַיִל);
16624,H2427,hebrew,חִיל,chîyl,kheel,a throe (expectant of childbirth),"pain, pang, sorrow.",and (feminine) חִילָה; from H2342 (חוּל);
16625,H2428,hebrew,חַיִל,chayil,khah'-yil,"probably a force, whether of men, means or other resources; an army, wealth, virtue, valor, strength","able, activity, ([phrase]) army, band of men (soldiers), company, (great) forces, goods, host, might, power, riches, strength, strong, substance, train, ([phrase]) valiant(-ly), valour, virtuous(-ly), war, worthy(-ily).",from H2342 (חוּל);
16626,H2429,hebrew,חַיִל,chayil,khah'-yil,"an army, or strength","aloud, army, [idiom] most (mighty), power.",(Aramaic) corresponding to H2428 (חַיִל);
16627,H2430,hebrew,חֵילָה,chêylâh,khay-law',an intrenchment,bulwark.,feminine of H2428 (חַיִל);
16628,H2431,hebrew,חֵילָם,Chêylâm,khay-lawm',"Chelam, a place East of Palestine",Helam.,or חֵלָאםxlit Chêlʼâm corrected to Chêlâʼm; from H2428 (חַיִל); fortress;
16629,H2432,hebrew,חִילֵן,Chîylên,khee-lane',"Chilen, a place in Palestine",Hilen.,from H2428 (חַיִל); fortress;
16630,H2433,hebrew,חִין,chîyn,kheen,beauty,comely.,another form for H2580 (חֵן);
16631,H2434,hebrew,חַיִץ,chayits,khah'-yits,a wall,wall.,another form for H2351 (חוּץ);
16632,H2435,hebrew,חִיצוֹן,chîytsôwn,khee-tsone',"properly, the (outer) wall side; hence, exterior; figuratively, secular (as opposed to sacred)","outer, outward, utter, without.",from H2434 (חַיִץ);
16633,H2436,hebrew,חֵיק,chêyq,khake,the bosom (literally or figuratively),"bosom, bottom, lap, midst, within.","or חֵק; and חוֹק; from an unused root, apparently meaning to inclose;"
16634,H2437,hebrew,חִירָה,Chîyrâh,khee-raw',"Chirah, an Adullamite",Hirah.,from H2357 (חָוַר) in the sense of splendor;
16635,H2438,hebrew,חִירָם,Chîyrâm,khee-rawm',"Chiram or Chirom, the name of two Tyrians","Hiram, Huram.","or חִירוֹםlemma חִירֹם missing vav, corrected to חִירוֹם; another form of H2361 (חוּרָם);"
16636,H2439,hebrew,חִישׁ,chîysh,kheesh,to hurry,make haste.,another form of H2363 (חוּשׁ);
16637,H2440,hebrew,חִישׁ,chîysh,kheesh,"properly, a hurry; hence (adverb) quickly",soon.,from H2439 (חִישׁ);
16638,H2441,hebrew,חֵךְ,chêk,khake,"properly, the palate or inside of the mouth; hence, the mouth itself (as the organ of speech, taste and kissing)","(roof of the) mouth, taste.",probably from H2596 (חָנַךְ) in the sense of tasting;
16639,H2442,hebrew,חָכָה,châkâh,khaw-kaw',"properly, to adhere to; hence, to await","long, tarry, wait.",a primitive root (apparently akin to H2707 (חָקָה) through the idea of piercing);
16640,H2443,hebrew,חַכָּה,chakkâh,khak-kaw',a hook (as adhering),"angle, hook.",probably from H2442 (חָכָה);
16641,H2444,hebrew,חֲכִילָה,Chăkîylâh,khak-ee-law',"Chakilah, a hill in Palestine",Hachilah.,from the same as H2447 (חַכְלִיל); dark;
16642,H2445,hebrew,חַכִּים,chakkîym,khak-keem',"wise, i.e. a Magian",wise.,(Aramaic) from a root corresponding to H2449 (חָכַם);
16643,H2446,hebrew,חֲכַלְיָה,Chăkalyâh,khak-al-yaw',"Chakaljah, an Israelite",Hachaliah.,from the base of H2447 (חַכְלִיל) and H3050 (יָהּ); darkness of Jah;
16644,H2447,hebrew,חַכְלִיל,chaklîyl,khak-leel',"darkly flashing (only of the eyes); in a good sense, brilliant (as stimulated by wine)",red.,by reduplication from an unused root apparently meaning to be dark;
16645,H2448,hebrew,חַכְלִלוּת,chaklilûwth,khak-lee-looth',"flash (of the eyes); in a bad sense, blearedness",redness.,from H2447 (חַכְלִיל);
16646,H2449,hebrew,חָכַם,châkam,khaw-kam',"to be wise (in mind, word or act)","[idiom] exceeding, teach wisdom, be (make self, shew self) wise, deal (never so) wisely, make wiser.","a primitive root,"
16647,H2450,hebrew,חָכָם,châkâm,khaw-kawm',"wise, (i.e. intelligent, skilful or artful)","cunning (man), subtil, (un-), wise((hearted), man).",from H2449 (חָכַם);
16648,H2451,hebrew,חׇכְמָה,chokmâh,khok-maw',wisdom (in a good sense),"skilful, wisdom, wisely, wit.",from H2449 (חָכַם);
16649,H2452,hebrew,חׇכְמָה,chokmâh,khok-maw',wisdom,wisdom.,(Aramaic) corresponding to H2451 (חׇכְמָה);
16650,H2453,hebrew,חַכְמוֹנִי,Chakmôwnîy,khak-mo-nee',"Chakmoni, an Israelite","Hachmoni, Hachmonite.",from H2449 (חָכַם); skilful;
16651,H2454,hebrew,חׇכְמוֹת,chokmôwth,khok-moth',wisdom,"wisdom, every wise (woman).",or חַכְמוֹת; collateral forms of H2451 (חׇכְמָה);
16652,H2455,hebrew,חֹל,chôl,khole,"properly, exposed; hence, profane","common, profane (place), unholy.",from H2490 (חָלַל);
16653,H2456,hebrew,חָלָא,châlâʼ,khaw-law',to be sick,be diseased.,a primitive root (compare H2470 (חָלָה));
16654,H2457,hebrew,חֶלְאָה,chelʼâh,khel-aw',"properly, disease; hence, rust",scum.,from H2456 (חָלָא);
16655,H2458,hebrew,חֶלְאָה,Chelʼâh,khel-aw',"Chelah, an Israelitess",Helah.,the same as H2457 (חֶלְאָה);
16656,H2459,hebrew,חֶלֶב,cheleb,kheh'-leb,"fat, whether literally or figuratively; hence, the richest or choice part","[idiom] best, fat(-ness), [idiom] finest, grease, marrow.",or חֵלֶב; from an unused root meaning to be fat;
16657,H2460,hebrew,חֵלֶב,Chêleb,khay'-leb,"Cheleb, an Israelite",Heleb.,the same as H2459 (חֶלֶב); fatness;
16658,H2461,hebrew,חָלָב,châlâb,khaw-lawb',milk (as the richness of kine),"[phrase] cheese, milk, sucking.",from the same as H2459 (חֶלֶב);
16659,H2462,hebrew,חֶלְבָּה,Chelbâh,khel-baw',"Chelbah, a place in Palestine",Helbah.,feminine of H2459 (חֶלֶב); fertility;
16660,H2463,hebrew,חֶלְבּוֹן,Chelbôwn,khel-bone',"Chelbon, a place in Syria",Helbah.,from H2459 (חֶלֶב); fruitful;
16661,H2464,hebrew,חֶלְבְּנָה,chelbᵉnâh,khel-ben-aw',"galbanam, an odorous gum (as if fatty)",galbanum.,from H2459 (חֶלֶב);
16662,H2465,hebrew,חֶלֶד,cheled,kheh'-led,"life (as a fleeting portion of time); hence, the world (as transient)","age, short time, world.",from an unused root apparently meaning to glide swiftly;
16663,H2466,hebrew,חֵלֶד,chêled,khay'-led,"Cheled, an Israelite",Heled.,the same as H2465 (חֶלֶד);
16664,H2467,hebrew,חֹלֶד,chôled,kho'-led,a weasel (from its gliding motion),weasel.,from the same as H2465 (חֶלֶד);
16665,H2468,hebrew,חֻלְדָּה,Chuldâh,khool-daw',"Chuldah, an Israelitess",Huldah.,feminine of H2467 (חֹלֶד);
16666,H2469,hebrew,חֶלְדַּי,Chelday,khel-dah'-ee,"Cheldai, the name of two Israelites",Heldai.,from H2466 (חֵלֶד); worldliness;
16667,H2470,hebrew,חָלָה,châlâh,khaw-law',"properly, to be rubbed or worn; hence (figuratively) to be weak, sick, afflicted; or (causatively) to grieve, make sick; also to stroke (in flattering), entreat","beseech, (be) diseased, (put to) grief, be grieved, (be) grievous, infirmity, intreat, lay to, put to pain, [idiom] pray, make prayer, be (fall, make) sick, sore, be sorry, make suit ([idiom] supplication), woman in travail, be (become) weak, be wounded.","a primitive root (compare H2342 (חוּל), H2470 (חָלָה), H2490 (חָלַל));"
16668,H2471,hebrew,חַלָּה,challâh,khal-law',a cake (as usually punctured),cake.,from H2490 (חָלַל);
16669,H2472,hebrew,חֲלוֹם,chălôwm,khal-ome',a dream,dream(-er).,or (shortened) חֲלֹם; from H2492 (חָלַם);
16670,H2473,hebrew,חֹלוֹן,Chôlôwn,kho-lone',"Cholon, the name of two places in Palestine",Holon.,or (shortened) חֹלֹן; probably from H2344 (חוֹל); sandy;
16671,H2474,hebrew,חַלּוֹן,challôwn,khal-lone',a window (as perforated),window.,
16672,H2475,hebrew,חֲלוֹף,chălôwph,khal-ofe',"properly, surviving; by implication (collectively) orphans",[idiom] destruction.,from H2498 (חָלַף);
16673,H2476,hebrew,חֲלוּשָׁה,chălûwshâh,khal-oo-shaw',defeat,being overcome.,feminine passive participle of H2522 (חָלַשׁ);
16674,H2477,hebrew,חֲלַח,Chălach,khal-akh',"Chalach, a region of Assyria",Halah.,probably of foreign origin;
16675,H2478,hebrew,חַלְחוּל,Chalchûwl,khal-khool',"Chalchul, a place in Palestine",Halhul.,by reduplication from H2342 (חוּל); contorted;
16676,H2479,hebrew,חַלְחָלָה,chalchâlâh,khal-khaw-law',"writhing (in childbirth); by implication, terror","(great, much) pain.",feminine from the same as H2478 (חַלְחוּל);
16677,H2480,hebrew,חָלַט,châlaṭ,khaw-lat',to snatch at,catch.,a primitive root;
16678,H2481,hebrew,חֲלִי,chălîy,khal-ee',a trinket (as polished),"jewel, ornament.",from H2470 (חָלָה);
16679,H2482,hebrew,חֲלִי,Chălîy,khal-ee',"Chali, a place in Palestine",Hali.,the same as H2481 (חֲלִי);
16680,H2483,hebrew,חֳלִי,chŏlîy,khol-ee',"malady, anxiety, calamity","disease, grief, (is) sick(-ness).",from H2470 (חָלָה);
16681,H2484,hebrew,חֶלְיָה,chelyâh,khel-yaw',a trinket,jewel.,feminine of H2481 (חֲלִי);
16682,H2485,hebrew,חָלִיל,châlîyl,khaw-leel',a flute (as perforated),pipe.,from H2490 (חָלַל);
16683,H2486,hebrew,חָלִילָה,châlîylâh,khaw-lee'-law,literal fora profaned thing; used (interj.) far be it!,"be far, ([idiom] God) forbid.",or חָלִלָה; a directive from H2490 (חָלַל);
16684,H2487,hebrew,חֲלִיפָה,chălîyphâh,khal-ee-faw',alternation,"change, course.",from H2498 (חָלַף);
