id,book_id,chapter,verse,text,text_web,text_kjv
31199,67,6,1,"And as they went on their journey, they came in the evening to the river Tigris, and they lodged there.", "And as they went on their journey, they came in the evening to the river Tigris, and they lodged there.", ""
31200,67,6,2,"And when the young man went down to wash himself, a fish leaped out of the river, and would have devoured him.", "And when the young man went down to wash himself, a fish leaped out of the river, and would have devoured him.", ""
31201,67,6,3,"Then the angel said unto him, Take the fish. And the young man laid hold of the fish, and drew it to land.", "Then the angel said unto him, Take the fish. And the young man laid hold of the fish, and drew it to land.", ""
31202,67,6,4,"To whom the angel said, Open the fish, and take the heart and the liver and the gall, and put them up safely.", "To whom the angel said, Open the fish, and take the heart and the liver and the gall, and put them up safely.", ""
31203,67,6,5,"So the young man did as the angel commanded him; and when they had roasted the fish, they did eat it: then they both went on their way, till they drew near to Ecbatane.", "So the young man did as the angel commanded him; and when they had roasted the fish, they did eat it: then they both went on their way, till they drew near to Ecbatane.", ""
31204,67,6,6,"Then the young man said to the angel, Brother Azarias, to what use is the heart and the liver and the gal of the fish?", "Then the young man said to the angel, Brother Azarias, to what use is the heart and the liver and the gal of the fish?", ""
31205,67,6,7,"And he said unto him, Touching the heart and the liver, if a devil or an evil spirit trouble any, we must make a smoke thereof before the man or the woman, and the party shall be no more vexed.", "And he said unto him, Touching the heart and the liver, if a devil or an evil spirit trouble any, we must make a smoke thereof before the man or the woman, and the party shall be no more vexed.", ""
31206,67,6,8,"As for the gall, it is good to anoint a man that hath whiteness in his eyes, and he shall be healed.", "As for the gall, it is good to anoint a man that hath whiteness in his eyes, and he shall be healed.", ""
31207,67,6,9,"And when they were come near to Rages,", "And when they were come near to Rages,", ""
31208,67,6,10,"The angel said to the young man, Brother, to day we shall lodge with Raguel, who is thy cousin; he also hath one only daughter, named Sara; I will speak for her, that she may be given thee for a wife.", "The angel said to the young man, Brother, to day we shall lodge with Raguel, who is thy cousin; he also hath one only daughter, named Sara; I will speak for her, that she may be given thee for a wife.", ""
31209,67,6,11,"For to thee doth the right of her appertain, seeing thou only art of her kindred.", "For to thee doth the right of her appertain, seeing thou only art of her kindred.", ""
31210,67,6,12,"And the maid is fair and wise: now therefore hear me, and I will speak to her father; and when we return from Rages we will celebrate the marriage: for I know that Raguel cannot marry her to another according to the law of Moses, but he shall be guilty of death, because the right of inheritance doth rather appertain to thee than to any other.", "And the maid is fair and wise: now therefore hear me, and I will speak to her father; and when we return from Rages we will celebrate the marriage: for I know that Raguel cannot marry her to another according to the law of Moses, but he shall be guilty of death, because the right of inheritance doth rather appertain to thee than to any other.", ""
